"Trades Count","Win Rate %","Iteration"
"4","52.45","803"
"4","52.45","804"
"4","52.45","805"
"4","52.45","806"
"4","52.45","807"
"4","52.45","808"
"4","52.45","809"
"4","52.45","810"
"4","51.75","811"
"4","51.75","812"
"4","51.75","813"
"4","51.75","814"
"4","52.45","815"
"4","52.45","816"
"4","51.75","817"
"4","51.75","818"
"4","52.45","819"
"4","52.45","820"
"4","52.45","821"
"4","52.45","822"
"4","52.45","823"
"4","52.45","824"
"4","52.45","825"
"4","52.45","826"
"4","51.75","827"
"4","51.75","828"
"4","52.45","829"
"4","52.45","830"
"4","51.75","831"
"4","51.75","832"
"4","51.75","833"
"4","51.75","834"
"4","0","835"
"4","0","836"
"4","51.75","837"
"4","51.75","838"
"4","52.45","839"
"4","52.45","840"
"4","52.45","841"
"4","52.45","842"
"4","52.45","843"
"4","52.45","844"
"4","51.75","845"
"4","51.75","846"
"4","52.45","847"
"4","52.45","848"
"4","52.45","849"
"4","52.45","850"
"4","52.45","851"
"4","52.45","852"
"4","52.45","853"
"4","52.45","854"
"4","52.45","855"
"4","52.45","856"
"4","52.45","857"
"4","52.45","858"
"4","51.75","859"
"4","51.75","860"
"4","52.45","861"
"4","52.45","862"
"4","52.45","863"
"4","52.45","864"
"4","51.75","865"
"4","51.75","866"
"4","51.75","867"
"4","51.75","868"
"4","52.45","869"
"4","52.45","870"
"4","52.45","871"
"4","52.45","872"
"4","52.45","873"
"4","52.45","874"
"4","52.45","875"
"4","52.45","876"
"4","52.45","877"
"4","52.45","878"
"4","51.75","879"
"4","51.75","880"
"4","51.75","881"
"4","51.75","882"
"4","0","883"
"4","0","884"
"4","52.45","885"
"4","52.45","886"
"4","52.45","887"
"4","52.45","888"
"4","52.45","889"
"4","52.45","890"
"4","52.45","891"
"3","52.45","892"
"4","52.45","893"
"4","52.45","894"
"4","52.45","895"
"4","52.45","896"
"4","51.75","897"
"4","51.75","898"
"4","52.45","899"
"4","52.45","900"
"4","52.45","901"
"4","52.45","902"
"4","52.45","903"
"4","52.45","904"
"4","52.45","905"
"4","52.45","906"
"4","52.45","907"
"4","52.45","908"
"4","51.75","909"
"4","51.75","910"
"4","51.75","911"
"4","51.75","912"
"4","51.75","913"
"4","51.75","914"
"4","52.45","915"
"4","52.45","916"
"4","52.45","917"
"4","52.45","918"
"4","52.45","919"
"4","52.45","920"
"4","51.75","921"
"4","51.75","922"
"4","52.45","923"
"4","52.45","924"
"4","52.45","925"
"4","52.45","926"
"4","52.45","927"
"4","52.45","928"
"4","0","929"
"4","0","930"
"4","51.75","931"
"4","51.75","932"
"4","51.75","933"
"4","51.75","934"
"4","51.75","935"
"4","51.75","936"
"4","51.75","937"
"4","51.75","938"
"4","52.45","939"
"4","52.45","940"
"4","51.75","941"
"4","51.75","942"
"4","51.75","943"
"4","51.75","944"
"4","51.75","945"
"4","51.75","946"
"4","51.75","947"
"4","51.75","948"
"4","52.45","949"
"4","52.45","950"
"4","52.45","951"
"4","52.45","952"
"4","52.45","953"
"4","52.45","954"
"4","52.45","955"
"4","52.45","956"
"4","52.45","957"
"4","52.45","958"
"4","52.45","959"
"4","52.45","960"
"4","52.45","961"
"4","52.45","962"
"4","52.45","963"
"4","52.45","964"
"4","51.75","965"
"4","51.75","966"
"3","51.75","967"
"4","51.75","968"
"4","52.45","969"
"4","52.45","970"
"3","52.45","971"
"3","52.45","972"
"4","52.45","973"
"4","52.45","974"
"4","51.75","975"
"4","51.75","976"
"4","52.45","977"
"3","52.45","978"
"4","52.45","979"
"4","52.45","980"
"4","0","981"
"4","0","982"
"4","52.45","983"
"4","52.45","984"
"4","52.45","985"
"4","52.45","986"
"4","52.45","987"
"4","52.45","988"
"4","51.75","989"
"4","51.75","990"
"4","52.45","991"
"4","52.45","992"
"4","52.45","993"
"4","52.45","994"
"4","51.75","995"
"4","51.75","996"
"4","52.45","997"
"4","52.45","998"
"4","51.75","999"
"4","51.75","1000"
"4","51.75","1001"
"4","51.75","1002"
"4","52.45","1003"
"4","52.45","1004"
"4","52.45","1005"
"4","52.45","1006"
"4","52.45","1007"
"4","52.45","1008"
"4","51.75","1009"
"4","51.75","1010"
"4","52.45","1011"
"4","52.45","1012"
"4","52.45","1013"
"4","52.45","1014"
"4","52.45","1015"
"4","52.45","1016"
"4","52.45","1017"
"4","52.45","1018"
"4","52.45","1019"
"4","52.45","1020"
"4","51.75","1021"
"4","51.75","1022"
"4","52.45","1023"
"4","52.45","1024"
"4","0","1025"
"4","0","1026"
"4","51.75","1027"
"4","51.75","1028"
