symbol,entry_time,entry_price,exit_reason,bars_held,gross_r,net_r,mfe_r,mae_r,reached_025r,reached_050r,reached_100r
ADANIENT,2024-02-13T09:34:00+05:30,3005.4,TIME_HORIZON,40,4.306888935236358,4.126888935236359,2.199020011906405,0.0,True,True,True
ADANIENT,2024-02-15T14:35:00+05:30,3101.4,STOP_LOSS,41,-2.0,-2.18,1.9850158505127196,1.3324078996592974,True,True,True
ADANIENT,2024-02-20T10:30:00+05:30,3139.2,STOP_LOSS,6,-2.0,-2.18,0.6163561584533973,1.4202989738272083,True,True,False
ADANIENT,2024-02-27T12:06:00+05:30,3197.8,TIME_HORIZON,40,-0.847719496315506,-1.027719496315506,0.7912048632277284,0.932491445947108,True,True,False
ADANIENT,2024-02-27T13:48:00+05:30,3186.7,STOP_LOSS,8,-2.0,-2.18,0.829596625942627,1.2098284128329517,True,True,False
ADANIENT,2024-02-28T10:58:00+05:30,3156.6,STOP_LOSS,3,-2.0,-2.18,0.7499479390115348,1.4084388122899536,True,True,False
ADANIENT,2024-02-28T13:00:00+05:30,3131.4,STOP_LOSS,3,-2.0,-2.18,0.0,2.558754979597034,False,False,False
ADANIENT,2024-03-04T13:56:00+05:30,3215.8,TIME_HORIZON,40,2.7759476868981974,2.595947686898197,5.025422536626677,0.0,True,True,True
ADANIENT,2024-03-05T10:36:00+05:30,3208.7,STOP_LOSS,30,-2.0,-2.18,4.668401344814843,2.7068881747244093,True,True,True
ADANIENT,2024-03-06T09:28:00+05:30,3192.3,STOP_LOSS,5,-2.0,-2.18,0.018808182276821274,1.3353809416555507,False,False,False
ADANIENT,2024-03-06T09:58:00+05:30,3151.8,STOP_LOSS,2,-2.0,-2.18,0.011546194349835833,1.2354427954335894,False,False,False
ADANIENT,2024-03-06T11:36:00+05:30,3115.3,TIME_HORIZON,40,-1.5405086786049695,-1.7205086786049695,1.5405086786048026,0.7702543393024848,True,True,True
ADANIENT,2024-03-11T12:01:00+05:30,3116.8,TIME_HORIZON,40,5.297900581951459,5.117900581951459,2.93121548591581,0.2388397803339598,True,True,True
ADANIENT,2024-03-11T14:21:00+05:30,3113.2,TIME_HORIZON,40,2.454161468148045,2.2741614681480447,2.7864958336263435,0.3067701835184475,True,True,True
ADANIENT,2024-03-11T15:20:00+05:30,3104.3,STOP_LOSS,20,-2.0,-2.18,5.388837754016808,2.332482012932732,True,True,True
ADANIENT,2024-03-12T11:32:00+05:30,3055.4,STOP_LOSS,1,-2.0,-2.18,0.0,1.0758579648554305,False,False,False
ADANIENT,2024-03-13T09:30:00+05:30,2984.1,STOP_LOSS,4,-2.0,-2.18,0.9408698584311381,1.024876095791021,True,True,False
ADANIENT,2024-03-18T09:16:00+05:30,2925.1,STOP_LOSS,5,-2.0,-2.18,0.9128511942939027,1.2639478074838666,True,True,False
ADANIENT,2024-03-19T11:43:00+05:30,2960.5,STOP_LOSS,1,-2.0,-2.18,0.11487651463708118,1.263641661007893,False,False,False
