trade_id,symbol,side,direction,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_cost,exit_cost,gross_pnl,net_pnl,exit_reason,same_session,total_cost,cost_to_gross_ratio,entry_ist,exit_ist,entry_hour_ist,hold_minutes
211_MAXHEALTH_exit,MAXHEALTH,SHORT,-1,2023-10-04T06:16:00+00:00,2023-10-04T07:16:00+00:00,566.7,567.0,8,2.6498892,1.5172919999999999,-2.399999999999636,-6.567181199999636,TIME_EXIT,True,4.1671812,1.736325500000263,2023-10-04T11:46:00+05:30,2023-10-04T12:46:00+05:30,11,60.0
221_SBIN_exit,SBIN,SHORT,-1,2023-10-04T06:26:00+00:00,2023-10-04T07:26:00+00:00,586.65,587.15,8,2.7431754,1.5712133999999998,-4.0,-8.3143888,TIME_EXIT,True,4.3143888,1.0785972,2023-10-04T11:56:00+05:30,2023-10-04T12:56:00+05:30,11,60.0
179_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-04T06:28:00+00:00,2023-10-04T06:44:00+00:00,101.25,101.77504267316154,49,2.899850625,1.668143836934454,-25.72709098491528,-30.295085446849733,STOP_HIT,True,4.567994461934454,0.17755580934559737,2023-10-04T11:58:00+05:30,2023-10-04T12:14:00+05:30,11,16.0
220_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-04T06:47:00+00:00,2023-10-04T07:25:00+00:00,101.95,100.72941190927095,48,2.8603092,1.6173114376152542,58.5882283549945,54.11060771737924,TARGET_HIT,True,4.477620637615255,0.07642526089856665,2023-10-04T12:17:00+05:30,2023-10-04T12:55:00+05:30,12,38.0
244_SUNPHARMA_exit,SUNPHARMA,SHORT,-1,2023-10-04T06:49:00+00:00,2023-10-04T07:49:00+00:00,1116.45,1119.2,4,2.6102601,1.4974896,-11.0,-15.1077497,TIME_EXIT,True,4.1077497,0.37343179090909095,2023-10-04T12:19:00+05:30,2023-10-04T13:19:00+05:30,12,60.0
246_HDFCBANK_exit,HDFCBANK,SHORT,-1,2023-10-04T06:51:00+00:00,2023-10-04T07:51:00+00:00,760.1,762.0,7,3.10994915,1.784223,-13.29999999999984,-18.19417214999984,TIME_EXIT,True,4.894172149999999,0.367982868421057,2023-10-04T12:21:00+05:30,2023-10-04T13:21:00+05:30,12,60.0
272_MAXHEALTH_exit,MAXHEALTH,SHORT,-1,2023-10-04T07:17:00+00:00,2023-10-04T08:17:00+00:00,567.0,565.85,9,2.9827035,1.703491425,10.349999999999795,5.663805074999796,TIME_EXIT,True,4.686194925,0.4527724565217481,2023-10-04T12:47:00+05:30,2023-10-04T13:47:00+05:30,12,60.0
238_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-04T07:26:00+00:00,2023-10-04T07:43:00+00:00,100.7,101.17751440895256,53,3.1195349500000003,1.7937255641991157,-25.308263674485588,-30.221524188684704,STOP_HIT,True,4.913260514199116,0.19413660997820242,2023-10-04T12:56:00+05:30,2023-10-04T13:13:00+05:30,12,17.0
282_CIPLA_exit,CIPLA,LONG,1,2023-10-04T07:27:00+00:00,2023-10-04T08:27:00+00:00,1169.35,1166.05,4,1.5645902999999997,2.7262249,-13.199999999999818,-17.490815199999815,TIME_EXIT,True,4.2908152,0.32506175757576206,2023-10-04T12:57:00+05:30,2023-10-04T13:57:00+05:30,12,60.0
300_M&M_exit,M&M,LONG,1,2023-10-04T07:45:00+00:00,2023-10-04T08:45:00+00:00,1518.35,1519.35,3,1.5236642249999997,2.6641802249999995,3.0,-1.1878444499999992,TIME_EXIT,True,4.187844449999999,1.3959481499999997,2023-10-04T13:15:00+05:30,2023-10-04T14:15:00+05:30,13,60.0
306_ETERNAL_exit,ETERNAL,SHORT,-1,2023-10-04T07:51:00+00:00,2023-10-04T08:51:00+00:00,101.5,101.2,44,2.6103769999999997,1.4894615999999998,13.199999999999875,9.100161399999875,TIME_EXIT,True,4.0998386,0.3105938333333363,2023-10-04T13:21:00+05:30,2023-10-04T14:21:00+05:30,13,60.0
307_INDIGO_exit,INDIGO,SHORT,-1,2023-10-04T07:52:00+00:00,2023-10-04T08:52:00+00:00,2385.0,2384.75,1,1.3940325,0.797698875,0.25,-1.941731375,TIME_EXIT,True,2.191731375,8.7669255,2023-10-04T13:22:00+05:30,2023-10-04T14:22:00+05:30,13,60.0
331_MAXHEALTH_exit,MAXHEALTH,SHORT,-1,2023-10-04T08:18:00+00:00,2023-10-04T09:16:00+00:00,565.85,568.8066570682752,7,2.315175275,1.3318607875253663,-20.696599477926043,-24.34363554045141,STOP_HIT,True,3.647036062525366,0.17621426488033035,2023-10-04T13:48:00+05:30,2023-10-04T14:46:00+05:30,13,58.0
352_INFY_exit,INFY,LONG,1,2023-10-04T08:37:00+00:00,2023-10-04T09:37:00+00:00,1401.2,1414.5,3,1.4061042,2.4803257499999996,39.899999999999864,36.01357004999986,TIME_EXIT,True,3.8864299499999992,0.09740425939849655,2023-10-04T14:07:00+05:30,2023-10-04T15:07:00+05:30,14,60.0
361_COALINDIA_exit,COALINDIA,LONG,1,2023-10-04T08:46:00+00:00,2023-10-04T09:46:00+00:00,267.75,268.15,17,1.5225603749999999,2.6644724749999993,6.7999999999996135,2.6129671499996148,TIME_EXIT,True,4.18703285,0.6157401250000349,2023-10-04T14:16:00+05:30,2023-10-04T15:16:00+05:30,14,60.0
368_INDIGO_exit,INDIGO,SHORT,-1,2023-10-04T08:53:00+00:00,2023-10-04T09:53:00+00:00,2384.75,2383.4,1,1.3938863750000001,0.7972473,1.349999999999909,-0.8411336750000911,TIME_EXIT,True,2.191133675,1.623061981481591,2023-10-04T14:23:00+05:30,2023-10-04T15:23:00+05:30,14,60.0
369_POWERGRID_exit,POWERGRID,LONG,1,2023-10-04T08:54:00+00:00,2023-10-04T09:54:00+00:00,198.55,199.0,22,1.46112945,2.558941,9.89999999999975,5.87992954999975,TIME_EXIT,True,4.02007045,0.40606772222223253,2023-10-04T14:24:00+05:30,2023-10-04T15:24:00+05:30,14,60.0
eod_flatten_TCS_750,TCS,LONG,1,2023-10-04T09:17:00+00:00,2023-10-04T09:59:00+00:00,3521.25,3545.0,1,1.1778581249999998,2.0720525,23.75,20.500089375,EOD_FLATTENING,True,3.2499106249999996,0.13683834210526313,2023-10-04T14:47:00+05:30,2023-10-04T15:29:00+05:30,14,42.0
eod_flatten_INFY_750,INFY,LONG,1,2023-10-04T09:39:00+00:00,2023-10-04T09:59:00+00:00,1413.7,1418.8,2,0.9457652999999999,1.6585771999999999,10.199999999999818,7.5956574999998185,EOD_FLATTENING,True,2.6043424999999996,0.25532769607843586,2023-10-04T15:09:00+05:30,2023-10-04T15:29:00+05:30,15,20.0
eod_flatten_AXISBANK_750,AXISBANK,SHORT,-1,2023-10-04T09:49:00+00:00,2023-10-04T09:59:00+00:00,990.85,990.85,4,2.3166073000000003,1.3257573,0.0,-3.6423646000000005,EOD_FLATTENING,True,3.6423646000000005,,2023-10-04T15:19:00+05:30,2023-10-04T15:29:00+05:30,15,10.0
eod_flatten_POWERGRID_750,POWERGRID,LONG,1,2023-10-04T09:55:00+00:00,2023-10-04T09:59:00+00:00,199.0,199.05,22,1.4644409999999999,2.5595839500000004,1.1000000000002501,-2.92402494999975,EOD_FLATTENING,True,4.02402495,3.6582044999991683,2023-10-04T15:25:00+05:30,2023-10-04T15:29:00+05:30,15,4.0
eod_flatten_SBIN_750,SBIN,SHORT,-1,2023-10-04T09:56:00+00:00,2023-10-04T09:59:00+00:00,584.65,585.2,7,2.3920954749999996,1.3702458,-3.8500000000004775,-7.612341275000477,EOD_FLATTENING,True,3.762341275,0.9772314999998788,2023-10-04T15:26:00+05:30,2023-10-04T15:29:00+05:30,15,3.0
3_AXISBANK_exit,AXISBANK,SHORT,-1,2023-10-05T03:46:00+00:00,2023-10-05T03:48:00+00:00,989.6,994.3880486117542,4,2.3136848,1.3304912090425272,-19.152194447016882,-22.79637045605941,STOP_HIT,True,3.644176009042527,0.19027459329132587,2023-10-05T09:16:00+05:30,2023-10-05T09:18:00+05:30,9,2.0
